,brand,price,currency,oldPrice,discountIn%,shepper,rating,topSeller,description
359,شاومي,6599.0,جنيه ,7210,8,noon-express,4.5,yes,شاومي Redmi Note 11 Pro 4G Dual Sim Star Blue 6GB RAM 64GB - Global Version …
360,نوكيا,419.0,جنيه ,0,0,noon-express,4.5,yes,نوكيا هاتف 106 ثنائي الشريحة بذاكرة داخلية سعة 4 ميجابايت ويدعم تقنية 2G، لون رمادي داكن …
361,أبل,15750.0,جنيه ,15933,0,noon-express,4.6,yes,أبل آيفون 11 بلون أسود يدعم تقنية 4G LTE  وذاكرة 128 جيجابايت ( 2020 - علبة هاتف رفيعة) - المواصفات العالمية …
362,نوكيا,415.0,جنيه ,485,14,noon-express,4.6,yes,نوكيا موبايل 105 بشريحتين لون أسود بذاكرة داخلية سعة 4 ميجابايت يدعم تقنية 2G …
363,سامسونج,6499.0,جنيه ,6800,0,noon-express,4.8,yes,سامسونج هاتف جالاكسي A23 ثنائي الشريحة بذاكرة رام 6 جيجابايت وذاكرة داخلية سعة 128 جيجابايت ويدعم تقنية LTE - إصدار الشرق الأوسط، لون أسود …
364,أبل,21240.0,جنيه ,0,0,noon-express,4.7,yes,أبل هاتف آيفون 13 بذاكرة داخلية 128 جيجابايت ويدعم تقنية 5G مع تطبيق فيس تايم بلون ميدنايت- النسخة العالمية …
365,شاومي,6299.0,جنيه ,0,0,noon-express,4.6,no,شاومي هاتف ريدمي نوت 11 بذاكرة رام سعة 6 جيجابايت وذاكرة داخلية سعة 128 جيجابايت ويدعم تقنية LTE، لون رمادي داكن …
366,أوبو,9798.0,جنيه ,0,0,noon-express,4.3,yes,أوبو Reno 7 Black Dual Sim 8GB RAM 256GB 4G LTE …
367,ريل مي,3899.0,جنيه ,0,0,noon-express,4.6,yes,ريل مي هاتف C21Y ثنائي الشريحة بذاكرة رام سعة 4 جيجابايت وذاكرة داخلية سعة 64 جيجابايت ويدعم تقنية 4G LTE وبلون أسود بنمط متقاطع - إصدار الشرق الأوسط …
368,أوبو,7990.0,جنيه ,0,0,noon-express,5.0,no,أوبو A96 Dual SIM Sunset Blue 8GB RAM 256GB 4G LTE - International Version …
369,أوبو,6500.0,جنيه ,0,0,noon-express,,no,أوبو A76 Dual SIM Glwing Black 6GB RAM 128GB 4G LTE - International Version …
370,إيتيل,334.0,جنيه ,0,0,noon-express,4.0,yes,إيتيل هاتف آيتل 2160 بشريحتين لون أسود سعة 4 ميجابايت يدعم خدمة 2G …
371,أبل,21199.0,جنيه ,0,0,noon-express,4.8,yes,أبل هاتف آيفون 13 بذاكرة داخلية سعة 128 جيجابايت يدعم تقنية 5G مع تطبيق فيس تايم بلون أزرق - النسخة العالمية …
372,سامسونج,7975.0,جنيه ,8999,11,noon-express,,yes,سامسونج Galaxy A33 Dual SIM 8GB RAM 128GB 5G Awesome Black …
373,أوبو,5999.0,جنيه ,6499,7,noon-express,4.5,no,أوبو هاتف A55 ثنائي الشريحة بذاكرة رام سعة 4 جيجابايت وذاكرة داخلية سعة 128 جيجابايت ويدعم تقنية 4G LTE، لون أسود لامع …
374,أبل,31499.0,جنيه ,0,0,noon-express,4.8,no,أبل هاتف آيفون 13 برو ماكس مع تطبيق فيس تايم بذاكرة داخلية 256 جيجابايت وتقنية 5G بلون أزرق سييرا - إصدار الولايات المتحدة الأمريكية …
375,أبل,15750.0,جنيه ,0,0,noon-express,4.6,no,أبل آيفون 11 مع فيس تايم بلون أسود وذاكرة 128 جيجابايت ويدعم تقنية 4G LTE - بالمواصفات العالمية …
376,أبل,30990.0,جنيه ,0,0,noon-express,4.7,no,أبل iPhone 13 Pro Max 256GB Graphite 5G With Facetime - International Specs …
377,سامسونج,13500.0,جنيه ,0,0,noon-express,5.0,no,سامسونج هاتف جالاكسي A73 ثنائي الشريحة بذاكرة رام 8 جيجابايت وذاكرة داخلية 256 جيجابايت ويدعم تقنية 5G بلون أبيض أوسوم - إصدار الشرق الأوسط …
378,سامسونج,26250.0,جنيه ,34999,24,noon-express,4.8,no,سامسونج هاتف جالاكسي S22 ألترا ثنائي الشريحة بذاكرة رام سعة 12 جيجابايت وذاكرة داخلية سعة 256 جيجابايت ويدعم تقنية 5G، لون أسود فانتوم - إصدار الشرق الأوسط …
379,نوكيا,4990.0,جنيه ,0,0,noon-express,4.9,no,نوكيا T20 10.4 Inch Ocean Blue 4GB RAM 64GB 4G LTE-Middle East Version …
380,أوبو,6080.0,جنيه ,0,0,noon-express,,no,أوبو A77 Dual SIM 4GB RAM 128GB 4G Sky Blue- Middle East Version …
381,أوبو,4899.0,جنيه ,0,0,noon-express,4.5,no,أوبو A16 Dual SIM Crystal Black 4GB RAM 64GB 4G -Middle East Version …
382,أوبو,7710.0,جنيه ,8999,14,noon-express,5.0,no,أوبو A96 Dual SIM 256GB 8GB Ram 4G LTE Blue …
